Abidjan,Africa/Abidjan
Accra,Africa/Accra
Acre,Brazil/Acre
ACT,Australia/ACT
Adak,America/Adak
Addis_Ababa,Africa/Addis_Ababa
Adelaide,Australia/Adelaide
Aden,Asia/Aden
Alaska,US/Alaska
Aleutian,US/Aleutian
Algiers,Africa/Algiers
Almaty,Asia/Almaty
Amman,Asia/Amman
Amsterdam,Europe/Amsterdam
Anadyr,Asia/Anadyr
Anchorage,America/Anchorage
Andorra,Europe/Andorra
Anguilla,America/Anguilla
Antananarivo,Indian/Antananarivo
Antigua,America/Antigua
Apia,Pacific/Apia
Aqtau,Asia/Aqtau
Aqtobe,Asia/Aqtobe
Araguaina,America/Araguaina
Arizona,US/Arizona
Aruba,America/Aruba
Ashgabat,Asia/Ashgabat
Ashkhabad,Asia/Ashkhabad
Asmara,Africa/Asmara
Asmera,Africa/Asmera
Astrakhan,Europe/Astrakhan
Asuncion,America/Asuncion
Athens,Europe/Athens
Atikokan,America/Atikokan
Atka,America/Atka
Atlantic,Canada/Atlantic
Atyrau,Asia/Atyrau
Auckland,Pacific/Auckland
Azores,Atlantic/Azores
Baghdad,Asia/Baghdad
Bahia,America/Bahia
Bahia_Banderas,America/Bahia_Banderas
Bahrain,Asia/Bahrain
BajaNorte,Mexico/BajaNorte
BajaSur,Mexico/BajaSur
Baku,Asia/Baku
Bamako,Africa/Bamako
Bangkok,Asia/Bangkok
Bangui,Africa/Bangui
Banjul,Africa/Banjul
Barbados,America/Barbados
Barnaul,Asia/Barnaul
Beirut,Asia/Beirut
Belem,America/Belem
Belfast,Europe/Belfast
Belgrade,Europe/Belgrade
Belize,America/Belize
Berlin,Europe/Berlin
Bermuda,Atlantic/Bermuda
Beulah,America/North_Dakota/Beulah
Bishkek,Asia/Bishkek
Bissau,Africa/Bissau
Blanc-Sablon,America/Blanc-Sablon
Blantyre,Africa/Blantyre
Boa_Vista,America/Boa_Vista
Bogota,America/Bogota
Boise,America/Boise
Bougainville,Pacific/Bougainville
Bratislava,Europe/Bratislava
Brazzaville,Africa/Brazzaville
Brisbane,Australia/Brisbane
Broken_Hill,Australia/Broken_Hill
Brunei,Asia/Brunei
Brussels,Europe/Brussels
Bucharest,Europe/Bucharest
Budapest,Europe/Budapest
Buenos_Aires,America/Buenos_Aires
Bujumbura,Africa/Bujumbura
Busingen,Europe/Busingen
Cairo,Africa/Cairo
Calcutta,Asia/Calcutta
Cambridge_Bay,America/Cambridge_Bay
Campo_Grande,America/Campo_Grande
Canary,Atlantic/Canary
Canberra,Australia/Canberra
Cancun,America/Cancun
Cape_Verde,Atlantic/Cape_Verde
Caracas,America/Caracas
Casablanca,Africa/Casablanca
Casey,Antarctica/Casey
Catamarca,America/Catamarca
Cayenne,America/Cayenne
Cayman,America/Cayman
Center,America/North_Dakota/Center
Central,Canada/Central
Ceuta,Africa/Ceuta
Chagos,Indian/Chagos
Chatham,Pacific/Chatham
Chicago,America/Chicago
Chihuahua,America/Chihuahua
Chisinau,Europe/Chisinau
Chita,Asia/Chita
Choibalsan,Asia/Choibalsan
Chongqing,Asia/Chongqing
Christmas,Indian/Christmas
Chungking,Asia/Chungking
Chuuk,Pacific/Chuuk
Cocos,Indian/Cocos
Colombo,Asia/Colombo
ComodRivadavia,America/Argentina/ComodRivadavia
Comoro,Indian/Comoro
Conakry,Africa/Conakry
Continental,Chile/Continental
Copenhagen,Europe/Copenhagen
Coral_Harbour,America/Coral_Harbour
Cordoba,America/Cordoba
Costa_Rica,America/Costa_Rica
Creston,America/Creston
Cuiaba,America/Cuiaba
Curacao,America/Curacao
Currie,Australia/Currie
Dacca,Asia/Dacca
Dakar,Africa/Dakar
Damascus,Asia/Damascus
Danmarkshavn,America/Danmarkshavn
Dar_es_Salaam,Africa/Dar_es_Salaam
Darwin,Australia/Darwin
Davis,Antarctica/Davis
Dawson,America/Dawson
Dawson_Creek,America/Dawson_Creek
DeNoronha,Brazil/DeNoronha
Denver,America/Denver
Detroit,America/Detroit
Dhaka,Asia/Dhaka
Dili,Asia/Dili
Djibouti,Africa/Djibouti
Dominica,America/Dominica
Douala,Africa/Douala
Dubai,Asia/Dubai
Dublin,Europe/Dublin
DumontDUrville,Antarctica/DumontDUrville
Dushanbe,Asia/Dushanbe
EasterIsland,Chile/EasterIsland
Eastern,Canada/Eastern
Easter,Pacific/Easter
East-Indiana,US/East-Indiana
Edmonton,America/Edmonton
Efate,Pacific/Efate
Eirunepe,America/Eirunepe
El_Aaiun,Africa/El_Aaiun
El_Salvador,America/El_Salvador
Enderbury,Pacific/Enderbury
Ensenada,America/Ensenada
Eucla,Australia/Eucla
Faeroe,Atlantic/Faeroe
Fakaofo,Pacific/Fakaofo
Famagusta,Asia/Famagusta
Faroe,Atlantic/Faroe
Fiji,Pacific/Fiji
Fortaleza,America/Fortaleza
Fort_Nelson,America/Fort_Nelson
Fort_Wayne,America/Fort_Wayne
Freetown,Africa/Freetown
Funafuti,Pacific/Funafuti
Gaborone,Africa/Gaborone
Galapagos,Pacific/Galapagos
Gambier,Pacific/Gambier
Gaza,Asia/Gaza
General,Mexico/General
Gibraltar,Europe/Gibraltar
Glace_Bay,America/Glace_Bay
GMT+10,Etc/GMT+10
GMT-10,Etc/GMT-10
GMT+11,Etc/GMT+11
GMT-11,Etc/GMT-11
GMT+12,Etc/GMT+12
GMT-12,Etc/GMT-12
GMT-13,Etc/GMT-13
GMT-14,Etc/GMT-14
GMT+1,Etc/GMT+1
GMT-1,Etc/GMT-1
GMT+2,Etc/GMT+2
GMT-2,Etc/GMT-2
GMT+3,Etc/GMT+3
GMT-3,Etc/GMT-3
GMT+4,Etc/GMT+4
GMT-4,Etc/GMT-4
GMT+5,Etc/GMT+5
GMT-5,Etc/GMT-5
GMT+6,Etc/GMT+6
GMT-6,Etc/GMT-6
GMT+7,Etc/GMT+7
GMT-7,Etc/GMT-7
GMT+8,Etc/GMT+8
GMT-8,Etc/GMT-8
GMT+9,Etc/GMT+9
GMT-9,Etc/GMT-9
Godthab,America/Godthab
Goose_Bay,America/Goose_Bay
Grand_Turk,America/Grand_Turk
Grenada,America/Grenada
