ABIDJAN,Africa/Abidjan
ACCRA,Africa/Accra
ACRE,Brazil/Acre
ACT,Australia/ACT
ADAK,America/Adak
ADDIS_ABABA,Africa/Addis_Ababa
ADELAIDE,Australia/Adelaide
ADEN,Asia/Aden
ALASKA,US/Alaska
ALEUTIAN,US/Aleutian
ALGIERS,Africa/Algiers
ALMATY,Asia/Almaty
AMMAN,Asia/Amman
AMSTERDAM,Europe/Amsterdam
ANADYR,Asia/Anadyr
ANCHORAGE,America/Anchorage
ANDORRA,Europe/Andorra
ANGUILLA,America/Anguilla
ANTANANARIVO,Indian/Antananarivo
ANTIGUA,America/Antigua
APIA,Pacific/Apia
AQTAU,Asia/Aqtau
AQTOBE,Asia/Aqtobe
ARAGUAINA,America/Araguaina
ARIZONA,US/Arizona
ARUBA,America/Aruba
ASHGABAT,Asia/Ashgabat
ASHKHABAD,Asia/Ashkhabad
ASMARA,Africa/Asmara
ASMERA,Africa/Asmera
ASTRAKHAN,Europe/Astrakhan
ASUNCION,America/Asuncion
ATHENS,Europe/Athens
ATIKOKAN,America/Atikokan
ATKA,America/Atka
ATLANTIC,Canada/Atlantic
ATYRAU,Asia/Atyrau
AUCKLAND,Pacific/Auckland
AZORES,Atlantic/Azores
BAGHDAD,Asia/Baghdad
BAHIA,America/Bahia
BAHIA_BANDERAS,America/Bahia_Banderas
BAHRAIN,Asia/Bahrain
BAJANORTE,Mexico/BajaNorte
BAJASUR,Mexico/BajaSur
BAKU,Asia/Baku
BAMAKO,Africa/Bamako
BANGKOK,Asia/Bangkok
BANGUI,Africa/Bangui
BANJUL,Africa/Banjul
BARBADOS,America/Barbados
BARNAUL,Asia/Barnaul
BEIRUT,Asia/Beirut
BELEM,America/Belem
BELFAST,Europe/Belfast
BELGRADE,Europe/Belgrade
BELIZE,America/Belize
BERLIN,Europe/Berlin
BERMUDA,Atlantic/Bermuda
BEULAH,America/North_Dakota/Beulah
BISHKEK,Asia/Bishkek
BISSAU,Africa/Bissau
BLANC-SABLON,America/Blanc-Sablon
BLANTYRE,Africa/Blantyre
BOA_VISTA,America/Boa_Vista
BOGOTA,America/Bogota
BOISE,America/Boise
BOUGAINVILLE,Pacific/Bougainville
BRATISLAVA,Europe/Bratislava
BRAZZAVILLE,Africa/Brazzaville
BRISBANE,Australia/Brisbane
BROKEN_HILL,Australia/Broken_Hill
BRUNEI,Asia/Brunei
BRUSSELS,Europe/Brussels
BUCHAREST,Europe/Bucharest
BUDAPEST,Europe/Budapest
BUENOS_AIRES,America/Buenos_Aires
BUJUMBURA,Africa/Bujumbura
BUSINGEN,Europe/Busingen
CAIRO,Africa/Cairo
CALCUTTA,Asia/Calcutta
CAMBRIDGE_BAY,America/Cambridge_Bay
CAMPO_GRANDE,America/Campo_Grande
CANARY,Atlantic/Canary
CANBERRA,Australia/Canberra
CANCUN,America/Cancun
CAPE_VERDE,Atlantic/Cape_Verde
CARACAS,America/Caracas
CASABLANCA,Africa/Casablanca
CASEY,Antarctica/Casey
CATAMARCA,America/Catamarca
CAYENNE,America/Cayenne
CAYMAN,America/Cayman
CENTER,America/North_Dakota/Center
CENTRAL,Canada/Central
CEUTA,Africa/Ceuta
CHAGOS,Indian/Chagos
CHATHAM,Pacific/Chatham
CHICAGO,America/Chicago
CHIHUAHUA,America/Chihuahua
CHISINAU,Europe/Chisinau
CHITA,Asia/Chita
CHOIBALSAN,Asia/Choibalsan
CHONGQING,Asia/Chongqing
CHRISTMAS,Indian/Christmas
CHUNGKING,Asia/Chungking
CHUUK,Pacific/Chuuk
COCOS,Indian/Cocos
COLOMBO,Asia/Colombo
COMODRIVADAVIA,America/Argentina/ComodRivadavia
COMORO,Indian/Comoro
CONAKRY,Africa/Conakry
CONTINENTAL,Chile/Continental
COPENHAGEN,Europe/Copenhagen
CORAL_HARBOUR,America/Coral_Harbour
CORDOBA,America/Cordoba
COSTA_RICA,America/Costa_Rica
CRESTON,America/Creston
CUIABA,America/Cuiaba
CURACAO,America/Curacao
CURRIE,Australia/Currie
DACCA,Asia/Dacca
DAKAR,Africa/Dakar
DAMASCUS,Asia/Damascus
DANMARKSHAVN,America/Danmarkshavn
DAR_ES_SALAAM,Africa/Dar_es_Salaam
DARWIN,Australia/Darwin
DAVIS,Antarctica/Davis
DAWSON,America/Dawson
DAWSON_CREEK,America/Dawson_Creek
DENORONHA,Brazil/DeNoronha
DENVER,America/Denver
DETROIT,America/Detroit
DHAKA,Asia/Dhaka
DILI,Asia/Dili
DJIBOUTI,Africa/Djibouti
DOMINICA,America/Dominica
DOUALA,Africa/Douala
DUBAI,Asia/Dubai
DUBLIN,Europe/Dublin
DUMONTDURVILLE,Antarctica/DumontDUrville
DUSHANBE,Asia/Dushanbe
EASTERISLAND,Chile/EasterIsland
EASTERN,Canada/Eastern
EASTER,Pacific/Easter
EAST-INDIANA,US/East-Indiana
EDMONTON,America/Edmonton
EFATE,Pacific/Efate
EIRUNEPE,America/Eirunepe
EL_AAIUN,Africa/El_Aaiun
EL_SALVADOR,America/El_Salvador
ENDERBURY,Pacific/Enderbury
ENSENADA,America/Ensenada
EUCLA,Australia/Eucla
FAEROE,Atlantic/Faeroe
FAKAOFO,Pacific/Fakaofo
FAMAGUSTA,Asia/Famagusta
FAROE,Atlantic/Faroe
FIJI,Pacific/Fiji
FORTALEZA,America/Fortaleza
FORT_NELSON,America/Fort_Nelson
FORT_WAYNE,America/Fort_Wayne
FREETOWN,Africa/Freetown
FUNAFUTI,Pacific/Funafuti
GABORONE,Africa/Gaborone
GALAPAGOS,Pacific/Galapagos
GAMBIER,Pacific/Gambier
GAZA,Asia/Gaza
GENERAL,Mexico/General
GIBRALTAR,Europe/Gibraltar
GLACE_BAY,America/Glace_Bay
GMT+10,Etc/GMT+10
GMT-10,Etc/GMT-10
GMT+11,Etc/GMT+11
GMT-11,Etc/GMT-11
GMT+12,Etc/GMT+12
GMT-12,Etc/GMT-12
GMT-13,Etc/GMT-13
GMT-14,Etc/GMT-14
GMT+1,Etc/GMT+1
GMT-1,Etc/GMT-1
GMT+2,Etc/GMT+2
GMT-2,Etc/GMT-2
GMT+3,Etc/GMT+3
